Subject,Start Date,Start Time,Location
"Ozu's "Tokyo Story"",1/17/2014,7:15 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/17/2014,10:00 PM,Cinefamily
"Heavy Midnites",1/17/2014,11:59 PM,Cinefamily
"Ozu's "Tokyo Story"",1/18/2014,4:15 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/18/2014,7:15 PM,Cinefamily
"Video Nights",1/18/2014,10:00 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/19/2014,7:00 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/20/2014,7:30 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/21/2014,7:45 PM,Cinefamily
"Doug Benson's Movie Interruption",1/22/2014,7:30 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/22/2014,10:20 PM,Cinefamily
"The Tramp at 100: A Charlie Chaplin Centennial",1/24/2014,7:20 PM,Cinefamily
"Underseen & Overlooked 2013: A Touch Of Sin",1/24/2014,9:30 PM,Cinefamily
"Friday Night Frights",1/24/2014,11:59 PM,Cinefamily
"The Tramp at 100: A Charlie Chaplin Centennial",1/25/2014,2:15 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/25/2014,4:30 PM,Cinefamily
"Underseen & Overlooked 2013: A Touch Of Sin",1/25/2014,7:00 PM,Cinefamily
"Cinespia Salons",1/25/2014,10:00 PM,Cinefamily
"Underseen & Overlooked 2013: A Touch Of Sin",1/26/2014,8:30 PM,Cinefamily
"IDA's Doc U",1/27/2014,7:30 PM,Cinefamily
"Underseen & Overlooked 2013: A Touch Of Sin",1/27/2014,9:45 PM,Cinefamily
"Cinefamily's Underseen & Overlooked of 2013",1/28/2014,7:30 PM,Cinefamily
"Underseen & Overlooked 2013: A Touch Of Sin",1/28/2014,10:15 PM,Cinefamily
"The Tramp at 100: A Charlie Chaplin Centennial",1/30/2014,7:30 PM,Cinefamily
"Underseen & Overlooked 2013: A Touch Of Sin",1/30/2014,9:30 PM,Cinefamily
"The Tramp at 100: A Charlie Chaplin Centennial",1/31/2014,7:30 PM,Cinefamily
"Heavy Midnites",1/31/2014,11:59 PM,Cinefamily
